customer_id,customer_name,total_value,quartile,quartile_label
CUST00206,Adam Costa,37188.14,1,Platinum
CUST00588,Rohan Petrova,30424.8,1,Platinum
CUST00665,Isha Vaughn,28973.08,1,Platinum
CUST00541,Meera Rao,24746.59,1,Platinum
CUST00514,Nora Khan,24193.49,1,Platinum
CUST00170,Vivaan Ford,23244.98,1,Platinum
CUST00570,Ivan Costa,23167.48,1,Platinum
CUST00269,Zara Vaughn,22870.0,1,Platinum
CUST00499,Arjun Muller,22543.1,1,Platinum
CUST00792,Zara Hale,22387.61,1,Platinum
CUST00615,Nora Reddy,21870.2,1,Platinum
CUST00059,Maya Kim,20638.85,1,Platinum
CUST00610,Victor Reddy,20259.03,1,Platinum
CUST00048,Rohan Bose,19686.5,1,Platinum
CUST00673,Neel Reddy,19024.98,1,Platinum
CUST00411,Jonas Iyer,18790.88,1,Platinum
CUST00661,Vivaan Quinn,18766.22,1,Platinum
CUST00605,Maya Bose,17606.27,1,Platinum
CUST00430,Kabir Sokolov,17580.32,1,Platinum
CUST00011,Chloe Verma,17075.56,1,Platinum
CUST00167,Zara Bose,16999.36,1,Platinum
CUST00365,Vivaan Joshi,16968.9,1,Platinum
CUST00770,Marcus Bose,16503.1,1,Platinum
CUST00613,Freya Haddad,16492.06,1,Platinum
CUST00315,Victor Nair,16110.7,1,Platinum
CUST00423,Vivaan Hale,16063.2,1,Platinum
CUST00190,Alice Larsen,15885.32,1,Platinum
CUST00138,Wren Dutta,15850.67,1,Platinum
CUST00424,Victor Mercer,15595.66,1,Platinum
CUST00735,Jonas Petrova,15488.35,1,Platinum
CUST00691,Cleo Dutta,15457.67,1,Platinum
CUST00010,Yash Reddy,15369.54,1,Platinum
CUST00018,Arjun Vaughn,15185.74,1,Platinum
CUST00389,Meera Haddad,15148.18,1,Platinum
CUST00799,Lena Bhatt,15107.42,1,Platinum
CUST00301,Kabir Ford,15096.9,1,Platinum
CUST00544,Arjun Haddad,15002.7,1,Platinum
CUST00257,Tara Sokolov,14900.35,1,Platinum
CUST00658,Noah Kapoor,14883.26,1,Platinum
CUST00230,Zara Iyer,14843.26,1,Platinum
CUST00383,Jonas Mehta,14768.19,1,Platinum
CUST00039,Kabir Ford,14721.54,1,Platinum
CUST00372,Alice Mercer,14712.52,1,Platinum
CUST00550,Hugo Rao,14695.16,1,Platinum
CUST00364,Zara Sullivan,14666.63,1,Platinum
CUST00668,Diya Reddy,14654.31,1,Platinum
CUST00110,Kabir Vaughn,14488.09,1,Platinum
CUST00603,Isha Fischer,14458.08,1,Platinum
CUST00754,Cleo Verma,14385.28,1,Platinum
CUST00574,Cleo Dutta,14323.45,1,Platinum
CUST00797,Dev Hale,14290.43,1,Platinum
CUST00648,Ethan Weber,14111.82,1,Platinum
CUST00749,Kabir Khan,14066.43,1,Platinum
CUST00469,Kabir Tanaka,14007.28,1,Platinum
CUST00693,Wren Kapoor,13978.47,1,Platinum
CUST00347,Yash Muller,13960.04,1,Platinum
CUST00022,Maya Verma,13767.99,1,Platinum
CUST00145,Leo Cole,13655.39,1,Platinum
CUST00674,Leo Joshi,13590.04,1,Platinum
CUST00503,Iris Ford,13418.17,1,Platinum
CUST00182,Rohan Muller,13296.37,1,Platinum
CUST00161,Jonas Weber,13169.1,1,Platinum
CUST00307,Felix Tanaka,13060.24,1,Platinum
CUST00041,Nora Mercer,12951.89,1,Platinum
CUST00777,Milo Rossi,12946.39,1,Platinum
CUST00263,Victor Ford,12933.14,1,Platinum
CUST00341,Nisha Nair,12890.75,1,Platinum
CUST00178,Noah Tanaka,12852.34,1,Platinum
CUST00501,Elena Bhatt,12778.14,1,Platinum
CUST00311,Hugo Bhatt,12668.56,1,Platinum
CUST00109,Victor Nair,12574.28,1,Platinum
CUST00255,Noah Sokolov,12427.13,1,Platinum
CUST00509,Isha Reddy,12306.01,1,Platinum
CUST00340,Neel Hale,12049.27,1,Platinum
CUST00164,Rohan Mehta,11989.25,1,Platinum
CUST00704,Sara Iyer,11894.65,1,Platinum
CUST00553,Vivaan Mehta,11792.4,1,Platinum
CUST00581,Hugo Bhatt,11725.9,1,Platinum
CUST00355,Arjun Sharma,11691.59,1,Platinum
CUST00759,Iris Cole,11660.26,1,Platinum
CUST00708,Marcus Iyer,11589.28,1,Platinum
CUST00068,Lena Dupont,11509.46,1,Platinum
CUST00204,Ananya Joshi,11495.68,1,Platinum
CUST00609,Sara Tanaka,11461.15,1,Platinum
CUST00358,Priya Grant,11394.99,1,Platinum
CUST00337,Elena Mercer,11323.77,1,Platinum
CUST00447,Priya Fischer,11263.79,1,Platinum
CUST00030,Iris Ford,11094.35,1,Platinum
CUST00035,Dev Reddy,11073.21,1,Platinum
CUST00730,Maya Larsen,10934.91,1,Platinum
CUST00056,Freya Gill,10908.42,1,Platinum
CUST00700,Cleo Petrova,10810.24,1,Platinum
CUST00267,Neel Cole,10689.63,1,Platinum
CUST00266,Alice Reddy,10664.77,1,Platinum
CUST00380,Kabir Rossi,10583.39,1,Platinum
CUST00284,Dev Nair,10470.66,1,Platinum
CUST00086,Diya Blake,10462.97,1,Platinum
CUST00534,Rohan Fischer,10360.29,1,Platinum
CUST00568,Meera Bhatt,10360.15,1,Platinum
CUST00604,Leo Joshi,10349.05,1,Platinum
CUST00428,Noah Rossi,10327.81,1,Platinum
CUST00747,Ruby Ford,10236.25,1,Platinum
